threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
-7.000000000000011,2,1,1,2,0.0,0.0,-0.5
-6.900000000000011,2,1,1,2,0.0,0.0,-0.5
-6.800000000000011,2,1,1,2,0.0,0.0,-0.5
-6.700000000000012,2,1,1,2,0.0,0.0,-0.5
-6.600000000000012,2,1,1,2,0.0,0.0,-0.5
-6.500000000000012,2,1,1,2,0.0,0.0,-0.5
-6.400000000000013,2,1,1,2,0.0,0.0,-0.5
-6.300000000000013,2,1,1,2,0.0,0.0,-0.5
-6.2000000000000135,2,1,1,2,0.0,0.0,-0.5
-6.100000000000014,7,5,2,5,0.0,0.3448982715178107,-0.21392016846207768
-6.000000000000014,7,5,2,5,0.0,0.3448982715178107,-0.21392016846207768
-5.900000000000015,8,6,2,5,0.0,0.4513311671533956,-0.17896275472912934
-5.800000000000015,13,9,4,5,0.0,0.6614261387890259,-0.10574828051023216
-5.700000000000015,16,12,4,6,0.0,0.7051331938641702,-0.09069472851511892
-5.600000000000016,20,16,4,6,0.0,0.7350979125802167,-0.07962356512694234
-5.500000000000016,30,26,4,9,0.0,0.7371514810211404,-0.07286661978248696
-5.400000000000016,42,37,5,15,0.0,0.7441362899987584,-0.06839870171758863
-5.300000000000017,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-5.200000000000017,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-5.100000000000017,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-5.000000000000018,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-4.900000000000018,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-4.8000000000000185,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-4.700000000000019,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-4.600000000000019,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-4.5000000000000195,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-4.40000000000002,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-4.30000000000002,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-4.200000000000021,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-4.100000000000021,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-4.000000000000021,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-3.9000000000000217,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-3.800000000000022,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-3.7000000000000224,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-3.6000000000000227,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
-3.500000000000023,44,38,6,15,0.0,0.7561654451995113,-0.06532897465071101
