threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
4.0,2045,7781,51,1787,5479.0,0.6598223470325281,0.6990393969274505
4.1,2045,7781,51,1787,5479.0,0.6598223470325281,0.6977258770865877
4.199999999999999,1932,7071,46,1711,4873.0,0.6586332088755273,0.696226554182852
4.299999999999999,1637,5286,34,1413,3474.0,0.6855785221100793,0.716695367609415
4.399999999999999,1364,3921,30,1081,2394.0,0.7041435052501425,0.7283664081921998
4.499999999999998,1138,2884,26,919,1519.0,0.7287461442237699,0.7367526579720307
4.599999999999998,918,2108,20,759,708.0,0.728240771733442,0.7412882872553975
4.6999999999999975,742,1490,14,619,269.0,0.7421268722407675,0.739550827138061
4.799999999999997,580,1062,14,472,134.0,0.7282327108024851,0.7334742768846064
4.899999999999997,428,730,13,356,99.0,0.7246506869611863,0.7214837334336955
4.9999999999999964,310,497,12,249,63.0,0.7096280352339329,0.7092731570803472
5.099999999999996,187,321,9,141,47.0,0.6312691929757206,0.6305597547309972
5.199999999999996,108,215,8,66,11.0,0.49120821258075476,0.509130778003295
5.299999999999995,77,157,9,47,6.0,0.41670355769961664,0.4264662869041233
5.399999999999995,50,110,6,37,1.0,0.34025102147093905,0.35704207770288776
5.499999999999995,39,64,3,35,1.0,0.4370554088274695,0.43705540882746946
5.599999999999994,28,35,2,26,0.0,0.450647986361199,0.450647986361199
5.699999999999994,17,19,2,15,0.0,0.359029653060739,0.359029653060739
5.799999999999994,12,10,2,10,0.0,0.38496611225591626,0.38496611225591626
5.899999999999993,8,7,1,8,0.0,0.29738393950082387,0.29738393950082376
5.999999999999993,4,3,1,4,0.0,0.17230328242902876,0.17230328242902876
6.0999999999999925,2,1,1,2,0.0,0.0,0.0
6.199999999999992,2,1,1,2,0.0,0.0,0.0
