threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
0.0318,482,762,53,82,2.0,0.9015903593963723,0.9041480957835226
0.031900000000000005,482,763,53,82,2.0,0.9018049864705482,0.9043428803195146
0.032,482,763,53,82,2.0,0.9018049864705482,0.9043428803195146
0.032100000000000004,482,763,53,82,2.0,0.9018049864705482,0.9043428803195146
0.0322,482,764,53,82,2.0,0.9019212026032752,0.9041350583552532
0.0323,487,772,53,82,2.0,0.9020448955470427,0.9045318187817237
0.0324,487,774,53,82,2.0,0.9016882001958758,0.9040068842220701
0.0325,487,774,53,82,2.0,0.9016882001958758,0.90400688422207
0.032600000000000004,491,781,53,82,2.0,0.902596180457974,0.9050334681469623
0.0327,500,792,55,82,2.0,0.9048789106197863,0.9071739890910306
0.0328,504,797,56,83,2.0,0.9045261838171683,0.9072158490864733
0.0329,504,799,56,83,2.0,0.9049786536813799,0.9075878973389068
0.033,505,800,56,83,2.0,0.9052482916928211,0.9078176290005459
0.033100000000000004,505,801,56,83,2.0,0.9053504832436972,0.9078801046204952
0.0332,512,809,58,83,2.0,0.9064752292718364,0.9086462654466834
0.0333,515,811,59,83,2.0,0.9068961162128293,0.9092017019312245
0.0334,516,813,59,83,2.0,0.9072675600971613,0.9094978030727514
0.0335,525,837,58,83,2.0,0.9083771111592215,0.9124822494053785
0.033600000000000005,525,838,58,83,2.0,0.9083393698741091,0.9124005834829463
0.0337,525,839,58,83,2.0,0.908532638730624,0.9125500497062782
0.033800000000000004,525,840,58,83,2.0,0.9087850878055482,0.912758844859286
0.0339,525,842,57,83,2.0,0.9077708731346819,0.912487902567972
0.034,532,852,58,83,2.0,0.9096143673670303,0.9119338402448223
0.0341,536,854,60,83,2.0,0.9102203379967786,0.9145000965204824
0.0342,536,854,60,83,2.0,0.9102203379967786,0.9145000965204825
0.034300000000000004,537,860,59,83,2.0,0.9085577442049327,0.9138437145725393
0.0344,537,862,59,83,2.0,0.9084643864119336,0.9136588068751427
0.0345,547,882,60,83,2.0,0.9104160193166584,0.914620595537207
0.0346,559,898,61,85,2.0,0.9119960469782815,0.9159520913228388
0.0347,561,903,61,85,2.0,0.9116954022077066,0.9156737693203848
0.034800000000000005,563,907,61,85,2.0,0.9115172321763518,0.9163144740680256
0.0349,569,917,61,85,2.0,0.9127751933913075,0.9173557443609996
0.035,570,922,60,85,2.0,0.9138274598782348,0.9175337239296929
0.0351,571,923,60,85,2.0,0.9139825128385887,0.9176716709357018
0.0352,578,940,60,87,2.0,0.9142503716758646,0.9181580850181889
0.035300000000000005,578,940,60,87,2.0,0.9142503716758646,0.9181580850181889
0.0354,595,968,61,87,2.0,0.9166071865669042,0.920257785277862
0.035500000000000004,595,968,61,87,2.0,0.9166071865669042,0.9202577852778618
0.0356,600,982,61,87,2.0,0.9170133600843854,0.9214755251774277
0.0357,608,994,61,88,3.0,0.9150708387810884,0.920564936170729
0.0358,612,1005,61,88,3.0,0.9154659486881027,0.9199616451608655
0.0359,623,1032,60,90,3.0,0.9169772869690065,0.9225492079125015
0.036000000000000004,635,1050,62,91,3.0,0.9168499202550251,0.9220467049972958
0.0361,636,1054,62,91,3.0,0.9160806631317578,0.9232728385508181
0.0362,660,1100,64,92,3.0,0.9206282435210226,0.925989599655752
0.0363,660,1103,64,92,3.0,0.9195160371413607,0.9229777718473556
0.0364,660,1107,64,92,3.0,0.9190273729567354,0.9235453765640956
0.036500000000000005,660,1108,64,92,3.0,0.9187125747340421,0.9232586676253315
0.0366,660,1110,64,92,3.0,0.9184489291265839,0.9231661782137702
0.0367,665,1117,65,92,3.0,0.9198142087586282,0.9236354785005227
0.0368,667,1124,65,93,3.0,0.9198409427249998,0.9236171674910895
0.0369,671,1139,65,93,3.0,0.9195348778951189,0.9217205898742052
0.037000000000000005,673,1142,65,93,3.0,0.9197763093857976,0.9235004314850502
0.0371,677,1152,64,93,3.0,0.9195801263229435,0.9239493169035111
0.037200000000000004,692,1172,68,93,3.0,0.9219014159213609,0.9257409068996827
0.0373,699,1178,69,93,3.0,0.9226921083910475,0.9264604956790181
0.0374,699,1179,69,93,3.0,0.921937707662201,0.9248093177284157
0.0375,703,1188,70,93,3.0,0.9229019071549582,0.9261532868592633
0.0376,703,1189,70,93,3.0,0.9229684068962127,0.9262142465005707
0.037700000000000004,703,1191,70,93,3.0,0.9237797807001629,0.9262780278426822
0.0378,710,1205,70,93,3.0,0.9242283768297749,0.9271809165342195
0.0379,737,1261,72,95,5.0,0.9255470330399252,0.9276603107676744
0.038,738,1264,72,95,5.0,0.9257918333258233,0.9278765498720933
0.0381,738,1264,72,95,5.0,0.9257918333258233,0.9278765498720933
0.038200000000000005,743,1272,73,95,5.0,0.9263555795237316,0.9283652612816894
0.0383,756,1292,75,95,5.0,0.9275074331302052,0.9284684897722231
0.038400000000000004,761,1300,76,95,5.0,0.9275135495964257,0.928449417784174
0.0385,768,1318,76,95,7.0,0.9277330776935551,0.9282620606206792
0.0386,769,1322,76,95,9.0,0.9273554552392409,0.9278679557368548
0.038700000000000005,772,1324,77,95,9.0,0.9276371568331367,0.9281505930448115
0.0388,807,1384,78,97,11.0,0.9291329414531486,0.9298564962682214
0.038900000000000004,818,1406,80,98,11.0,0.928129473567554,0.930964480784766
0.039,823,1414,80,98,11.0,0.9302784083903362,0.9315924851706469
0.0391,825,1423,80,98,11.0,0.9312168876631002,0.9316736706499679
0.0392,851,1465,85,98,14.0,0.932339227630038,0.9327238248910736
0.0393,855,1479,86,98,14.0,0.9329159629998581,0.9331982226539074
0.039400000000000004,865,1508,87,98,14.0,0.9338193858316862,0.9340019998584693
0.0395,884,1539,89,98,15.0,0.9351270690435421,0.9353252057380331
0.0396,915,1612,93,99,17.0,0.9351351609800818,0.9366165762495817
0.0397,927,1645,94,99,23.0,0.9360156185179346,0.9370063695632475
0.0398,954,1703,98,100,24.0,0.9378619703807692,0.9385242974179705
0.039900000000000005,970,1745,99,100,24.0,0.9373496853330056,0.9391801529599247
0.04,1011,1817,105,100,25.0,0.9400189302067812,0.9402053910579385
0.040100000000000004,1017,1832,105,100,26.0,0.93927178589881,0.9401016185460025
0.0402,1020,1841,105,100,29.0,0.9400482173004131,0.9402637184517426
0.0403,1022,1845,105,100,29.0,0.9400312450803823,0.9402431175503639
