threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
3.5,47,43,8,14,0.0,0.773640177180915,0.773640177180915
3.6,47,43,8,14,0.0,0.773640177180915,0.773640177180915
3.7,47,43,8,14,0.0,0.773640177180915,0.773640177180915
3.8000000000000003,47,43,8,14,0.0,0.773640177180915,0.7736401771809149
3.9000000000000004,47,43,8,14,0.0,0.773640177180915,0.773640177180915
4.0,47,43,8,14,0.0,0.773640177180915,0.773640177180915
4.1000000000000005,47,43,8,14,0.0,0.773640177180915,0.773640177180915
4.200000000000001,47,43,8,14,0.0,0.773640177180915,0.773640177180915
4.300000000000001,47,43,8,14,0.0,0.773640177180915,0.773640177180915
4.4,47,43,8,14,0.0,0.773640177180915,0.773640177180915
4.500000000000001,47,43,8,14,0.0,0.773640177180915,0.773640177180915
4.600000000000001,47,43,8,14,0.0,0.773640177180915,0.7736401771809149
4.700000000000001,47,43,8,14,0.0,0.773640177180915,0.773640177180915
4.800000000000001,47,43,8,14,0.0,0.773640177180915,0.773640177180915
4.900000000000001,47,43,8,14,0.0,0.773640177180915,0.773640177180915
5.000000000000002,47,43,8,14,0.0,0.773640177180915,0.773640177180915
5.100000000000001,47,43,8,14,0.0,0.773640177180915,0.773640177180915
5.200000000000001,47,43,8,14,0.0,0.773640177180915,0.7736401771809149
5.300000000000002,47,43,8,14,0.0,0.773640177180915,0.773640177180915
5.400000000000002,47,43,8,14,0.0,0.773640177180915,0.773640177180915
5.500000000000002,41,37,7,13,0.0,0.7741882658086928,0.774589406401365
5.600000000000001,31,27,7,10,0.0,0.7666555838676308,0.7666555838676307
5.700000000000002,21,18,6,6,0.0,0.7221247366132533,0.7221247366132533
5.8000000000000025,14,10,4,5,0.0,0.6875134520241812,0.6875134520241812
5.900000000000002,9,6,3,5,0.0,0.5539080301662982,0.5539080301662982
6.000000000000002,6,3,3,2,0.0,0.6476830138804334,0.6476830138804334
6.100000000000002,4,2,2,2,0.0,0.4808215229925816,0.4808215229925816
6.200000000000003,4,2,2,2,0.0,0.4808215229925816,0.4808215229925816
6.3000000000000025,4,2,2,2,0.0,0.4808215229925816,0.4808215229925816
6.400000000000002,4,2,2,2,0.0,0.4808215229925816,0.4808215229925816
6.500000000000003,4,2,2,2,0.0,0.4808215229925816,0.4808215229925816
6.600000000000003,4,2,2,2,0.0,0.4808215229925816,0.4808215229925816
6.700000000000003,4,2,2,2,0.0,0.4808215229925816,0.4808215229925816
6.8000000000000025,4,2,2,2,0.0,0.4808215229925816,0.4808215229925816
6.900000000000003,4,2,2,2,0.0,0.4808215229925816,0.4808215229925816
7.0000000000000036,4,2,2,2,0.0,0.4808215229925816,0.4808215229925816
7.100000000000003,2,1,1,2,0.0,0.0,0.0
7.200000000000003,2,1,1,2,0.0,0.0,0.0
7.300000000000003,2,1,1,2,0.0,0.0,0.0
7.400000000000004,2,1,1,2,0.0,0.0,0.0
7.5000000000000036,2,1,1,2,0.0,0.0,0.0
7.600000000000003,2,1,1,2,0.0,0.0,0.0
7.700000000000004,2,1,1,2,0.0,0.0,0.0
7.800000000000004,2,1,1,2,0.0,0.0,0.0
7.900000000000004,2,1,1,2,0.0,0.0,0.0
8.000000000000004,2,1,1,2,0.0,0.0,0.0
8.100000000000005,2,1,1,2,0.0,0.0,0.0
8.200000000000005,2,1,1,2,0.0,0.0,0.0
8.300000000000004,2,1,1,2,0.0,0.0,0.0
8.400000000000004,2,1,1,2,0.0,0.0,0.0
8.500000000000004,2,1,1,2,0.0,0.0,0.0
8.600000000000005,2,1,1,2,0.0,0.0,0.0
8.700000000000005,2,1,1,2,0.0,0.0,0.0
8.800000000000004,2,1,1,2,0.0,0.0,0.0
8.900000000000006,2,1,1,2,0.0,0.0,0.0
9.000000000000005,2,1,1,2,0.0,0.0,0.0
9.100000000000005,2,1,1,2,0.0,0.0,0.0
9.200000000000005,2,1,1,2,0.0,0.0,0.0
9.300000000000004,2,1,1,2,0.0,0.0,0.0
9.400000000000006,2,1,1,2,0.0,0.0,0.0
9.500000000000005,2,1,1,2,0.0,0.0,0.0
9.600000000000005,2,1,1,2,0.0,0.0,0.0
9.700000000000006,2,1,1,2,0.0,0.0,0.0
9.800000000000006,2,1,1,2,0.0,0.0,0.0
9.900000000000006,2,1,1,2,0.0,0.0,0.0
10.000000000000005,2,1,1,2,0.0,0.0,0.0
10.100000000000005,2,1,1,2,0.0,0.0,0.0
10.200000000000006,2,1,1,2,0.0,0.0,0.0
10.300000000000006,2,1,1,2,0.0,0.0,0.0
10.400000000000006,2,1,1,2,0.0,0.0,0.0
