threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
4.5,1227,2215,110,153,30.0,0.9373897226185859,0.9377794346277447
4.6,1144,2033,106,143,25.0,0.9383430494734998,0.9383430494734997
4.699999999999999,830,1327,101,100,16.0,0.9377347643176889,0.9377347643176891
4.799999999999999,575,830,77,76,13.0,0.9291678883330964,0.9291678883330964
4.899999999999999,390,519,58,57,3.0,0.917779204339386,0.9177792043393859
4.999999999999998,270,334,42,35,2.0,0.9020703019610472,0.9020703019610471
5.099999999999998,185,213,29,19,1.0,0.9021098531026331,0.9021098531026333
5.1999999999999975,127,122,23,16,1.0,0.9100295016348551,0.9100295016348553
5.299999999999997,81,64,19,11,1.0,0.9103305519420675,0.9103305519420675
5.399999999999997,51,39,13,10,1.0,0.882254383921252,0.882254383921252
5.4999999999999964,38,28,11,9,1.0,0.852488387432208,0.8524883874322081
5.599999999999996,23,17,7,8,1.0,0.7673602686556742,0.7673602686556742
5.699999999999996,18,13,6,6,1.0,0.7629441449731531,0.7629441449731531
5.799999999999995,12,8,5,3,1.0,0.7498839637456456,0.7498839637456456
5.899999999999995,9,6,4,3,1.0,0.6695969589971955,0.6695969589971955
5.999999999999995,9,6,4,3,1.0,0.6695969589971955,0.6695969589971955
6.099999999999994,7,5,3,3,1.0,0.5664868007110875,0.5664868007110875
6.199999999999994,4,2,2,2,0.0,0.49964498437238924,0.49964498437238924
6.299999999999994,2,1,1,2,0.0,0.0,0.0
6.399999999999993,2,1,1,2,0.0,0.0,0.0
6.499999999999993,2,1,1,2,0.0,0.0,0.0
