threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
0.0001,253,611,3,248,0.0,0.23608442809900934,0.2677900217879312
0.0002,358,1006,3,352,0.0,0.3020358283601245,0.38392597962654174
0.00030000000000000003,413,1358,4,401,0.0,0.2955788364973808,0.3754931190238319
0.0004,457,1585,3,441,0.0,0.3330104998149668,0.3791137225267547
0.0005,482,1750,4,462,0.0,0.3701368186536103,0.39160679630799716
0.0006000000000000001,505,1877,6,481,0.0,0.3748293736901975,0.4059423187068782
0.0007,532,1981,5,521,1.0,0.3594747845247202,0.4306064950656423
0.0008,567,2099,5,553,1.0,0.40224677632453776,0.45308497243214163
0.0009000000000000001,589,2195,4,577,1.0,0.4169644804234366,0.4742079424142518
0.001,614,2309,5,600,2.0,0.4295549730095812,0.48808684240565875
0.0011,630,2408,6,614,2.0,0.4296226569898947,0.4956848012279999
0.0012000000000000001,654,2503,8,631,2.0,0.44509286733601233,0.5070923565888421
0.0013000000000000002,668,2588,10,640,8.0,0.41415844284070347,0.5098216314907761
0.0014,681,2666,10,651,10.0,0.4089081342946132,0.5084151499777075
0.0015,710,2778,12,675,12.0,0.3964970087927386,0.511294680967745
0.0016,733,2903,12,696,14.0,0.3958317645183378,0.5027303798086561
0.0017000000000000001,760,3008,11,726,17.0,0.38786653004213906,0.502592660958628
0.0018000000000000002,784,3111,12,746,20.0,0.4063943103492466,0.5018341383227751
0.0019,807,3213,11,766,21.0,0.38696896963641453,0.513984100116533
0.002,834,3321,11,791,23.0,0.3909469706873932,0.5237456231291889
0.0021000000000000003,845,3403,11,802,26.0,0.4231207906683521,0.5215676775618955
0.0022,870,3520,11,826,27.0,0.42175464242472005,0.5201042523037168
0.0023,918,3675,12,869,34.0,0.42598543315250664,0.530948645101801
0.0024000000000000002,951,3769,12,902,37.0,0.42772558802639093,0.531533116501731
0.0025,985,3888,12,933,45.0,0.4293991088631885,0.5365791704222334
0.0026000000000000003,1015,4032,11,968,52.0,0.4322186895017636,0.5400544219957834
0.0027,1043,4170,13,990,56.0,0.4478752343352235,0.5380395821890956
