threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
-10.0,201,649,2,199,640.0,0.22590634380832414,-0.2110105694586175
-9.9,234,769,2,232,897.0,0.2514133744662398,-0.1834026978070888
-9.8,253,878,1,253,1101.0,0.26335066881591035,-0.2999336864376332
-9.700000000000001,282,1018,1,282,1382.0,0.26439051998747104,-0.208738031359005
-9.600000000000001,342,1180,1,342,1603.0,0.30351349553159834,-0.19284740084445123
-9.500000000000002,383,1385,1,383,1969.0,0.32192230392933585,-0.24412527891499303
-9.400000000000002,429,1638,1,429,2412.0,0.2885927615105613,-0.23179169959801377
-9.300000000000002,460,1918,1,460,3120.0,0.3227647250133861,-0.26124444846332456
-9.200000000000003,499,2243,1,499,4092.0,0.32907307082707254,-0.22802723500988772
-9.100000000000003,548,2594,1,548,5356.0,0.3245630520590686,-0.2801284473000159
-9.000000000000004,599,3020,1,599,7051.0,0.3338926321219883,-0.2821270052239876
-8.900000000000004,639,3473,1,639,8800.0,0.3273919958722196,-0.25275869111327837
-8.800000000000004,689,3981,1,689,11006.0,0.3234477383848995,-0.2658650428947771
-8.700000000000005,739,4543,1,739,13812.0,0.3217767655704947,-0.22221205056409268
-8.600000000000005,789,5194,1,789,17393.0,0.28277352666627953,-0.24963284269322136
-8.500000000000005,840,5921,1,840,22232.0,0.26565326191402455,-0.17763277662922522
-8.400000000000006,887,6745,1,887,28386.0,0.28535161464561276,-0.2595714804042552
-8.300000000000006,937,7585,1,937,35483.0,0.27248258104842205,-0.2588794106051748
-8.200000000000006,1026,8615,1,1026,45022.0,0.26722248328752335,-0.23818430441233085
-8.100000000000007,1089,9624,1,1089,56636.0,0.2426111097254836,-0.26636484464809906
-8.000000000000007,1136,10765,1,1136,71121.0,0.2154603425724357,-0.258009462283491
