threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy
0.0005,2,1,1,2,0.0,0.0
0.0006000000000000001,2,1,1,2,0.0,0.0
0.0007,2,1,1,2,0.0,0.0
0.0008,2,1,1,2,0.0,0.0
0.0009000000000000001,2,1,1,2,0.0,0.0
0.001,5,3,2,3,0.0,0.47954686071197905
0.0011,5,3,2,3,0.0,0.47954686071197905
0.0012000000000000001,5,3,2,3,0.0,0.47954686071197905
0.0013000000000000002,5,3,2,3,0.0,0.47954686071197905
0.0014,5,3,2,3,0.0,0.47954686071197905
0.0015,5,3,2,3,0.0,0.47954686071197905
0.0016,5,3,2,3,0.0,0.47954686071197905
0.0017000000000000001,5,3,2,3,0.0,0.47954686071197905
0.0018000000000000002,5,3,2,3,0.0,0.47954686071197905
0.0019,5,3,2,3,0.0,0.47954686071197905
0.002,5,3,2,3,0.0,0.47954686071197905
0.0021000000000000003,5,3,2,3,0.0,0.47954686071197905
0.0022,5,3,2,3,0.0,0.47954686071197905
0.0023,5,3,2,3,0.0,0.47954686071197905
0.0024000000000000002,5,3,2,3,0.0,0.47954686071197905
0.0025,5,3,2,3,0.0,0.47954686071197905
0.0026000000000000003,5,3,2,3,0.0,0.47954686071197905
0.0027,5,3,2,3,0.0,0.47954686071197905
0.0028,5,3,2,3,0.0,0.47954686071197905
0.0029000000000000002,5,3,2,3,0.0,0.47954686071197905
0.003,5,3,2,3,0.0,0.47954686071197905
0.0031000000000000003,5,3,2,3,0.0,0.47954686071197905
0.0032,7,4,3,3,0.0,0.5821373756291315
0.0033,7,4,3,3,0.0,0.5821373756291315
0.0034000000000000002,7,4,3,3,0.0,0.5821373756291315
0.0035,7,4,3,3,0.0,0.5821373756291315
0.0036000000000000003,7,4,3,3,0.0,0.5821373756291315
0.0037,7,4,3,3,0.0,0.5821373756291315
0.0038,7,4,3,3,0.0,0.5821373756291315
0.0039000000000000003,7,4,3,3,0.0,0.5821373756291315
0.004,7,4,3,3,0.0,0.5821373756291315
0.0041,7,4,3,3,0.0,0.5821373756291315
0.004200000000000001,7,4,3,3,0.0,0.5821373756291315
0.0043,7,4,3,3,0.0,0.5821373756291315
0.0044,7,4,3,3,0.0,0.5821373756291315
0.0045000000000000005,7,4,3,3,0.0,0.5821373756291315
0.0046,7,4,3,3,0.0,0.5821373756291315
0.0047,7,4,3,3,0.0,0.5821373756291315
0.0048000000000000004,7,4,3,3,0.0,0.5821373756291315
0.0049,13,10,4,5,1.0,0.6663150399130822
0.005,13,10,4,5,1.0,0.6663150399130822
0.0051,13,10,4,5,1.0,0.6663150399130822
0.005200000000000001,13,10,4,5,1.0,0.6663150399130822
0.0053,13,10,4,5,1.0,0.6663150399130822
0.0054,13,10,4,5,1.0,0.6663150399130822
0.0055000000000000005,13,10,4,5,1.0,0.6663150399130822
0.0056,13,10,4,5,1.0,0.6663150399130822
0.0057,13,10,4,5,1.0,0.6663150399130822
0.0058000000000000005,13,10,4,5,1.0,0.6663150399130822
0.0059,16,12,5,6,1.0,0.7209034780816386
0.006,16,12,5,6,1.0,0.7209034780816386
0.0061,16,12,5,6,1.0,0.7209034780816386
0.006200000000000001,16,12,5,6,1.0,0.7209034780816386
0.0063,16,12,5,6,1.0,0.7209034780816386
0.0064,16,12,5,6,1.0,0.7209034780816386
0.006500000000000001,16,12,5,6,1.0,0.7209034780816386
0.0066,16,12,5,6,1.0,0.7209034780816386
0.0067,16,12,5,6,1.0,0.7209034780816386
0.0068000000000000005,16,12,5,6,1.0,0.7209034780816386
0.006900000000000001,16,12,5,6,1.0,0.7209034780816386
0.007,18,16,5,7,1.0,0.6948229795927866
0.0071,18,16,5,7,1.0,0.6948229795927866
0.007200000000000001,18,16,5,7,1.0,0.6948229795927866
0.0073,18,16,5,7,1.0,0.6948229795927866
0.0074,18,16,5,7,1.0,0.6948229795927866
0.007500000000000001,18,16,5,7,1.0,0.6948229795927866
0.0076,18,16,5,7,1.0,0.6948229795927866
0.0077,18,16,5,7,1.0,0.6948229795927866
0.0078000000000000005,18,16,5,7,1.0,0.6948229795927866
0.0079,18,16,5,7,1.0,0.6948229795927866
0.008,32,34,5,23,1.0,0.6185998526279154
0.0081,32,34,5,23,1.0,0.6185998526279154
0.0082,32,34,5,23,1.0,0.6185998526279154
0.0083,34,36,5,25,1.0,0.6294824298193362
0.008400000000000001,35,38,5,26,1.0,0.6095025454586478
0.0085,35,38,5,26,1.0,0.6095025454586478
