threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy
-8.190000000000039,2,1,1,2,0.0,0.0
-8.180000000000039,2,1,1,2,0.0,0.0
-8.170000000000039,2,1,1,2,0.0,0.0
-8.16000000000004,2,1,1,2,0.0,0.0
-8.15000000000004,2,1,1,2,0.0,0.0
-8.14000000000004,2,1,1,2,0.0,0.0
-8.13000000000004,2,1,1,2,0.0,0.0
-8.12000000000004,2,1,1,2,0.0,0.0
-8.11000000000004,2,1,1,2,0.0,0.0
-8.10000000000004,2,1,1,2,0.0,0.0
-8.09000000000004,2,1,1,2,0.0,0.0
-8.080000000000041,2,1,1,2,0.0,0.0
-8.070000000000041,2,1,1,2,0.0,0.0
-8.060000000000041,2,1,1,2,0.0,0.0
-8.050000000000042,2,1,1,2,0.0,0.0
-8.040000000000042,2,1,1,2,0.0,0.0
-8.030000000000042,2,1,1,2,0.0,0.0
-8.020000000000042,2,1,1,2,0.0,0.0
-8.010000000000042,2,1,1,2,0.0,0.0
-8.000000000000043,2,1,1,2,0.0,0.0
-7.990000000000043,2,1,1,2,0.0,0.0
-7.980000000000043,2,1,1,2,0.0,0.0
-7.970000000000043,2,1,1,2,0.0,0.0
-7.9600000000000435,2,1,1,2,0.0,0.0
-7.950000000000044,3,2,1,3,0.0,0.0
-7.940000000000044,3,2,1,3,0.0,0.0
-7.930000000000044,4,3,1,4,0.0,2.220446049250313e-16
-7.920000000000044,4,3,1,4,0.0,2.220446049250313e-16
-7.9100000000000446,4,3,1,4,0.0,2.220446049250313e-16
-7.900000000000045,4,3,1,4,0.0,2.220446049250313e-16
-7.890000000000045,4,3,1,4,0.0,2.220446049250313e-16
-7.880000000000045,4,3,1,4,0.0,2.220446049250313e-16
-7.870000000000045,4,3,1,4,0.0,2.220446049250313e-16
-7.860000000000046,4,3,1,4,0.0,2.220446049250313e-16
-7.850000000000046,4,3,1,4,0.0,2.220446049250313e-16
-7.840000000000046,4,3,1,4,0.0,2.220446049250313e-16
